wavelength,Intensity,Uncertainty
4138.09,1.14E-14,2.37E-16
4140.84,1.11E-14,2.34E-16
4143.59,1.10E-14,2.32E-16
4146.34,1.07E-14,2.28E-16
4149.09,1.08E-14,2.30E-16
4151.84,1.11E-14,2.32E-16
4154.59,1.13E-14,2.34E-16
4157.34,1.13E-14,2.33E-16
4160.09,1.12E-14,2.33E-16
4162.84,1.10E-14,2.31E-16
4165.59,1.08E-14,2.28E-16
4168.34,1.09E-14,2.29E-16
4171.09,1.08E-14,2.27E-16
4173.84,1.07E-14,2.26E-16
4176.59,1.09E-14,2.28E-16
4179.34,1.12E-14,2.31E-16
4182.09,1.11E-14,2.30E-16
4184.84,1.10E-14,2.28E-16
4187.59,1.08E-14,2.27E-16
4190.34,1.08E-14,2.26E-16
4193.09,1.09E-14,2.27E-16
4195.84,1.07E-14,2.25E-16
4198.59,1.10E-14,2.28E-16
4201.34,1.12E-14,2.30E-16
4204.09,1.15E-14,2.33E-16
4206.84,1.19E-14,2.36E-16
4209.59,1.18E-14,2.35E-16
4212.34,1.16E-14,2.32E-16
4215.09,1.16E-14,2.32E-16
4217.84,1.14E-14,2.30E-16
4220.59,1.14E-14,2.30E-16
4223.34,1.15E-14,2.31E-16
4226.09,1.16E-14,2.31E-16
4228.84,1.21E-14,2.35E-16
4231.59,1.20E-14,2.33E-16
4234.34,1.23E-14,2.36E-16
4237.09,1.25E-14,2.37E-16
4239.84,1.25E-14,2.37E-16
4242.59,1.24E-14,2.35E-16
4245.34,1.21E-14,2.31E-16
4248.09,1.24E-14,2.33E-16
4250.84,1.24E-14,2.33E-16
4253.59,1.27E-14,2.35E-16
4256.34,1.24E-14,2.31E-16
4259.09,1.24E-14,2.31E-16
4261.84,1.22E-14,2.28E-16
4264.59,1.22E-14,2.28E-16
4267.34,1.21E-14,2.26E-16
4270.09,1.17E-14,2.21E-16
4272.84,1.16E-14,2.20E-16
4275.59,1.16E-14,2.19E-16
4278.34,1.17E-14,2.19E-16
4281.09,1.18E-14,2.19E-16
4283.84,1.20E-14,2.20E-16
4286.59,1.19E-14,2.19E-16
4289.34,1.15E-14,2.15E-16
4292.09,1.13E-14,2.12E-16
4294.84,1.12E-14,2.11E-16
4297.59,1.12E-14,2.10E-16
4300.34,1.16E-14,2.13E-16
4303.09,1.15E-14,2.11E-16
4305.84,1.12E-14,2.09E-16
4308.59,1.08E-14,2.04E-16
4311.34,1.07E-14,2.03E-16
4314.09,1.06E-14,2.02E-16
4316.84,1.02E-14,1.98E-16
4319.59,9.93E-15,1.94E-16
4322.34,9.90E-15,1.93E-16
4325.09,9.70E-15,1.91E-16
4327.84,1.01E-14,1.94E-16
4330.59,1.07E-14,1.99E-16
4333.34,1.15E-14,2.06E-16
4336.09,1.23E-14,2.14E-16
4338.84,1.31E-14,2.20E-16
4341.59,1.36E-14,2.24E-16
4344.34,1.46E-14,2.31E-16
4347.09,1.58E-14,2.41E-16
4349.84,1.72E-14,2.51E-16
4352.59,1.85E-14,2.60E-16
4355.34,1.94E-14,2.66E-16
4358.09,1.92E-14,2.64E-16
4360.84,1.90E-14,2.63E-16
4363.59,1.85E-14,2.60E-16
4366.34,1.84E-14,2.58E-16
4369.09,1.80E-14,2.55E-16
4371.84,1.75E-14,2.51E-16
4374.59,1.64E-14,2.43E-16
4377.34,1.67E-14,2.45E-16
4380.09,1.60E-14,2.39E-16
4382.84,1.63E-14,2.41E-16
4385.59,1.55E-14,2.35E-16
4388.34,1.46E-14,2.28E-16
4391.09,1.40E-14,2.23E-16
4393.84,1.36E-14,2.20E-16
4396.59,1.30E-14,2.14E-16
4399.34,1.26E-14,2.11E-16
4402.09,1.21E-14,2.07E-16
4404.84,1.15E-14,2.02E-16
4407.59,1.15E-14,2.02E-16
4410.34,1.14E-14,2.01E-16
4413.09,1.18E-14,2.04E-16
4415.84,1.19E-14,2.05E-16
4418.59,1.18E-14,2.05E-16
4421.34,1.19E-14,2.06E-16
